Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Stock Name,Sector Id
Jan-15,69,81.75,68.85,76.2,338822,10066,25630547,134234,39.62,12.9,7.2,KSK,7
Feb-15,76,92.8,71.25,73.05,359541,12201,29471030,119726,33.3,21.55,-2.95,KSK,7
Mar-15,72.5,80.8,55,60.15,512429,15022,35882998,207103,40.42,25.8,-12.35,KSK,7
Apr-15,58.8,69,56.7,57.7,485924,10146,30508665,192938,39.71,12.3,-1.1,KSK,7
May-15,57.55,60.8,47,48.3,1365248,5051,70481563,1162699,85.16,13.8,-9.25,KSK,7
Jun-15,47.05,48.75,35.75,37.95,726922,7826,29682503,330145,45.42,13,-9.1,KSK,7
Jul-15,38.45,50.35,37.55,42.3,4315914,30561,195780924,1364804,31.62,12.8,3.85,KSK,7
Aug-15,42.7,48.7,32,35.15,1483304,14780,62119809,516771,34.84,16.7,-7.55,KSK,7
Sep-15,34.8,36.15,29.2,33.3,678012,7383,21909642,396426,58.47,6.95,-1.5,KSK,7
Oct-15,33.95,43.7,33.35,37.85,1412622,7877,56865170,956343,67.7,10.35,3.9,KSK,7
Nov-15,37.9,41,32.95,39.8,488985,6023,18261061,237303,48.53,8.05,1.9,KSK,7
Dec-15,39.5,55.4,38.85,51.2,2616807,27892,124903806,909751,34.77,16.55,11.7,KSK,7
Jan-16,51.3,54.75,40.3,47.45,971510,9372,47564901,450811,46.4,14.45,-3.85,KSK,7
Feb-16,47.65,51.3,36.1,36.3,806833,9967,35231013,311684,38.63,15.2,-11.35,KSK,7
Mar-16,37.05,43.5,33,33.15,2044496,16109,77647409,1340133,65.55,10.5,-3.9,KSK,7
Apr-16,33.35,37.7,31.85,32.95,1232524,10166,42235257,654428,53.1,5.85,-0.4,KSK,7
May-16,33,35.25,30.05,30.25,731540,4962,23911677,400460,54.74,5.2,-2.75,KSK,7
Jun-16,30,31.3,28.25,29.9,990094,5765,29648784,612136,61.83,3.05,-0.1,KSK,7
Jul-16,30,31.65,28.3,29.25,688534,4254,20776012,427655,62.11,3.35,-0.75,KSK,7
Aug-16,29.75,29.95,26.9,28.05,465958,2895,13273830,284907,61.14,3.05,-1.7,KSK,7
Sep-16,27.7,30.5,26,27.6,625494,4323,18205698,339360,54.25,4.5,-0.1,KSK,7
Oct-16,27.85,28.7,25.75,26.05,476988,3391,12780767,318466,66.77,2.95,-1.8,KSK,7
Nov-16,26.2,26.35,20.5,21.3,605474,3196,13724819,348011,57.48,5.85,-4.9,KSK,7
Dec-16,21.6,22.4,11.7,15.05,6347314,15344,97229104,3990717,62.87,10.7,-6.55,KSK,7
Jan-17,15,18.95,14.65,16.45,1124436,4648,19521318,691702,61.52,4.3,1.45,KSK,7
Feb-17,16.35,17.9,12.8,13,1719987,5187,25841346,1358226,78.97,5.1,-3.35,KSK,7
Mar-17,13,13.7,8.23,8.38,21885934,14524,207837800,18217461,83.24,5.47,-4.62,KSK,7
Apr-17,8.45,11.87,7.63,10.69,42147008,20652,419539972,25916202,61.49,4.24,2.24,KSK,7
May-17,11.22,11.44,9.3,9.73,9092035,7766,96816570,9092035,100,2.14,-1.49,KSK,7
Jun-17,9.75,10.05,8.23,9.19,1570085,2641,14477182,1570085,100,1.82,-0.56,KSK,7
Jul-17,9.59,10.1,8.06,8.66,2080823,2522,18583259,2080823,100,2.04,-0.93,KSK,7
Aug-17,8.58,8.58,6.5,7.03,2189620,2818,16217085,1943927,88.78,2.08,-1.55,KSK,7
Sep-17,7.19,12.95,6.49,9.75,19677660,18812,198030423,9656090,49.07,6.46,2.56,KSK,7
Oct-17,9.75,11.55,9.1,11.02,7004304,5715,74346987,7004304,100,2.45,1.27,KSK,7
Nov-17,11.43,11.43,7,7.72,4925348,4817,42659532,4925348,100,4.43,-3.71,KSK,7
Dec-17,8.1,11.26,7.22,11.26,3189710,2745,26577927,3189710,100,4.04,3.16,KSK,7
Jan-18,11.82,19.22,11.82,15.24,11569886,10573,195935784,11569886,100,7.4,3.42,KSK,7
Feb-18,15.55,16,10.75,10.95,4820236,3347,63598591,4820236,100,5.25,-4.6,KSK,7
Mar-18,11.4,11.4,8.08,8.64,9994119,3763,91226557,9994119,100,3.32,-2.76,KSK,7
Apr-18,8.6,10.2,7.41,7.5,2694211,2458,23857003,2694211,100,2.79,-1.1,KSK,7
May-18,7.65,7.65,3.26,3.26,14806821,6208,64635270,9441282,63.76,4.39,-4.39,KSK,7
Jun-18,3.1,3.1,1.55,1.55,37514055,6267,85150527,20865116,55.62,1.55,-1.55,KSK,7
Jul-18,1.51,2.2,1.44,1.49,53275817,7611,86769375,27671588,51.94,0.76,-0.02,KSK,7
Aug-18,1.5,2.05,1.42,1.58,13576639,4581,23075756,11330101,83.45,0.63,0.08,KSK,7
Sep-18,1.65,1.82,1.04,1.04,5641054,2365,8387649,5641054,100,0.78,-0.61,KSK,7
Oct-18,0.99,0.99,0.69,0.89,5577725,3897,4606630,5577725,100,0.3,-0.1,KSK,7
Nov-18,0.93,2.2,0.93,2.2,9307101,4106,17599689,9307101,100,1.27,1.27,KSK,7
Dec-18,2.31,2.31,1.43,1.6,9915272,5370,17534973,9915272,100,0.88,-0.71,KSK,7
Jan-19,1.68,1.69,1.49,1.56,1502334,802,2350478,1502334,100,0.2,-0.12,KSK,7
